sequence,name,area,camera_type,device_name,host,sdk_port
2,厂房东面立杆枪机02,赛迪电气/园区,枪机,厂房东面立杆枪机1,10.10.1.99,8000
214,办公楼1层西面楼梯,赛迪电气/办公楼/1F,枪机,办公楼1层西面楼梯,10.10.1.230,8000
358,弱电机房半球01,赛迪电气/办公楼/1F,半球,弱电机房半球01,10.10.0.1,8000
250,办公楼1层中楼梯,赛迪电气/办公楼/1F,枪机,办公楼1层中楼梯,10.10.1.229,8000
359,弱电机房半球02,赛迪电气/办公楼/1F,半球,弱电机房半球02,10.10.0.2,8000
357,办公室一层走廊半球01,赛迪电气/办公楼/1F,半球,办公室一层走廊半球01,10.10.0.3,8000
356,办公室一层走廊半球02,赛迪电气/办公楼/1F,半球,办公室一层走廊半球02,10.10.0.4,8000
355,办公楼一层走廊半球03,赛迪电气/办公楼/1F,半球,办公楼一层走廊半球03,10.10.0.5,8000
353,办公楼一层大厅半球01,赛迪电气/办公楼/1F,半球,办公楼一层大厅半球01,10.10.0.7,8000
204,办公楼1层东面楼梯,赛迪电气/办公楼/1F,枪机,办公楼1层东面楼梯,10.10.1.86,8000
53,办公室二层走廊半球05,赛迪电气/办公楼/2F,半球,办公室二层走廊半球05,10.10.0.15,8000
84,办公楼2层西面楼梯,赛迪电气/办公楼/2F,枪机,IP CAMERA,10.10.1.216,8000
52,办公楼二层候梯厅半球,赛迪电气/办公楼/2F,半球,办公楼二层候梯厅半球,10.10.0.14,8000
100,办公楼2层中楼梯,赛迪电气/办公楼/2F,枪机,IP CAMERA,10.10.1.214,8000
54,办公楼二层走廊半球04,赛迪电气/办公楼/2F,半球,办公楼二层走廊半球04,10.10.0.13,8000
95,办公楼2层东面楼梯,赛迪电气/办公楼/2F,枪机,IP CAMERA,10.10.1.240,8000
350,办公楼二层走廊半球03,赛迪电气/办公楼/2F,半球,办公楼二层走廊半球03,10.10.0.12,8000
351,办公楼二层走廊半球02,赛迪电气/办公楼/2F,半球,办公楼二层走廊半球02,10.10.0.11,8000
352,办公楼二层走廊半球01,赛迪电气/办公楼/2F,半球,办公楼二层走廊半球01,10.10.0.10,8000
121,办公室三层走廊半球05,赛迪电气/办公楼/3F,半球,办公室三层走廊半球05,10.10.0.24,8000
309,办公楼三层候梯厅半球,赛迪电气/办公楼/3F,半球,食堂洗碗区防油污枪机,10.10.0.23,8000
47,办公室三层走廊半球04,赛迪电气/办公楼/3F,半球,办公室三层走廊半球04,10.10.0.21,8000
48,办公室三层走廊半球03,赛迪电气/办公楼/3F,半球,办公室三层走廊半球03,10.10.0.20,8000
49,办公室三层走廊半球02,赛迪电气/办公楼/3F,半球,办公室三层走廊半球02,10.10.0.19,8000
50,办公室三层走廊半球01,赛迪电气/办公楼/3F,半球,办公室三层走廊半球01,10.10.0.18,8000
51,办公室三层财务室半球02,赛迪电气/办公楼/3F,半球,办公室三层财务室半球02,10.10.0.17,8000
219,办公楼三层财务室半球01,赛迪电气/办公楼/3F,半球,办公楼三层财务室半球01,10.10.0.16,8000
43,办公楼3层西面楼梯枪机,赛迪电气/办公楼/3F,枪机,办公楼3层西面楼梯枪机,10.10.1.7,8000
42,办公楼3层中楼梯枪机,赛迪电气/办公楼/3F,枪机,办公楼三层枪机02,10.10.1.8,8000
41,办公楼3层东面楼梯枪机,赛迪电气/办公楼/3F,枪机,办公楼三层枪机03,10.10.1.9,8000
174,2#配电室枪机01,赛迪电气/厂房/功能房,枪机,2#配电室枪机01,10.10.1.11,8000
327,B轴枪机02,赛迪电气/厂房/B轴,枪机,B轴枪机02,10.10.0.74,8000
354,办公楼一层走廊半球04,赛迪电气/办公楼/1F,半球,办公楼一层走廊半球04,10.10.0.6,8000
213,B轴枪机02,赛迪电气/厂房/B轴,枪机,B轴枪机02,10.10.1.23,8000
280,B轴枪机03,赛迪电气/厂房/B轴,枪机,B轴枪机03,10.10.0.73,8000
312,A轴枪机01,赛迪电气/厂房/A轴,枪机,A轴枪机01,10.10.0.75,8000
325,厂房东南角立杆枪机,赛迪电气/园区,云台枪机,厂房东南角立杆球机,10.10.2.2,8000
66,2#配电室外枪机,赛迪电气/厂房/功能房,枪机,2#配电室外枪机,10.10.1.12,8000
92,2#配电室枪机02,赛迪电气/厂房/功能房,枪机,2#配电室枪机02,10.10.1.13,8000
98,C轴枪机01,赛迪电气/厂房/C轴,枪机,C轴枪机01,10.10.1.14,8000
161,B轴枪机01,赛迪电气/厂房/B轴,枪机,B轴枪机01,10.10.1.15,8000
126,C轴枪机02,赛迪电气/厂房/C轴,枪机,C轴枪机02,10.10.1.16,8000
73,C轴枪机03,赛迪电气/厂房/C轴,枪机,C轴枪机03,10.10.1.17,8000
241,C轴枪机04,赛迪电气/厂房/C轴,枪机,C轴枪机04,10.10.1.18,8000
182,B轴枪机03,赛迪电气/厂房/B轴,枪机,B轴枪机03,10.10.1.26,8000
267,A轴枪机02,赛迪电气/厂房/A轴,枪机,A轴枪机02,10.10.1.22,8000
110,B轴枪机04,赛迪电气/厂房/B轴,枪机,B轴枪机04,10.10.1.27,8000
117,柴油发电机房热成像枪机01(普通画面）,赛迪电气/厂房/功能房,枪机,柴油发电机房热成像枪机01,10.10.1.25,8000
118,柴油发电机房热成像枪机02(热成像画面）,赛迪电气/厂房/功能房,枪机,柴油发电机房热成像枪机01,10.10.1.25,8000
137,1#变电所枪机01（热成像普通画面）,赛迪电气/厂房/功能房,枪机,1#变电所热成像枪机01,10.10.1.24,8000
