sequence,name,area,camera_type,device_name,host,sdk_port
188,1#低压配电室热成像枪机06,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机06,10.10.1.235,8000
189,1#低压配电室热成像枪机06,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机06,10.10.1.235,8000
173,G轴墙东面枪机13,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机13,10.10.2.20,8000
71,G轴墙西面枪机06,赛迪电气/厂房/G轴墙西面,枪机,G轴墙西面枪机06,10.10.1.220,8000
132,F、G轴之间枪机01,赛迪电气/厂房/F轴,枪机,F、G轴之间枪机01,10.10.1.221,8000
265,H轴枪机16,赛迪电气/厂房/H轴,枪机,1#低压配电室热成像枪机04,10.10.1.223,8000
67,H轴枪机17,赛迪电气/厂房/H轴,枪机,H轴枪机17,10.10.1.222,8000
61,H轴枪机18,赛迪电气/厂房/H轴,枪机,H轴枪机18,10.10.1.224,8000
128,H轴枪机19,赛迪电气/厂房/H轴,枪机,H轴枪机19,10.10.1.225,8000
133,G轴墙东面枪机12,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机12,10.10.2.23,8000
120,G轴墙东面枪机14,赛迪电气/厂房/G轴墙东面,枪机,IP CAMERA,10.10.1.218,8000
193,G轴墙东面枪机15,赛迪电气/厂房/G轴墙东面,枪机,G轴墙东面枪机15,10.10.2.21,8000
301,钣金车间6#门枪机,赛迪电气/厂房/I轴,枪机,钣金车间6#门枪机,10.10.0.57,8000
237,空压站枪机01,赛迪电气/厂房/功能房,枪机,空压站枪机01,10.10.1.228,8000
198,H轴照G轴南门,赛迪电气/厂房/H轴,枪机,H轴照G轴南门,10.10.1.226,8000
203,I轴枪机12,赛迪电气/厂房/I轴,枪机,I轴枪机12,10.10.2.40,8000
222,I轴枪机16,赛迪电气/厂房/I轴,枪机,I轴枪机16,10.10.2.43,8000
3,H轴枪机17,赛迪电气/厂房/H轴,枪机,H轴枪机17,10.10.1.242,8000
210,I轴枪机17,赛迪电气/厂房/I轴,枪机,I轴枪机17,10.10.2.41,8000
217,I轴枪机14,赛迪电气/厂房/I轴,枪机,I轴枪机14,10.10.1.227,8000
228,I轴枪机09,赛迪电气/厂房/I轴,枪机,I轴枪机09,10.10.2.29,8000
239,I轴枪机11,赛迪电气/厂房/I轴,枪机,I轴枪机11,10.10.1.239,8000
339,I轴枪机10,赛迪电气/厂房/I轴,枪机,I轴枪机10,10.10.0.50,8000
260,I轴枪机15,赛迪电气/厂房/I轴,枪机,I轴枪机15,10.10.0.51,8000
229,3号楼1#房枪机,赛迪电气/3#楼,枪机,3号楼1#房枪机,10.10.1.120,8000
236,3号楼2#房枪机,赛迪电气/3#楼,枪机,3号楼2#房枪机,10.10.1.119,8000
232,4号楼枪机,赛迪电气/4#楼,枪机,4号楼枪机,10.10.1.118,8000
291,4号楼2#房枪机,赛迪电气/4#楼,枪机,4号楼2#房枪机,10.10.1.121,8000
287,5号楼仓库热成像枪机普通画面,赛迪电气/5#楼,枪机,5号楼仓库热成像枪机,10.10.0.96,8000
288,5号楼仓库热成像枪机,赛迪电气/5#楼,枪机,5号楼仓库热成像枪机,10.10.0.96,8000
281,5号物质回收站热成像普通枪机,赛迪电气/5#楼,枪机,5号物质回收站热成像枪机,10.10.0.95,8000
282,5号物质回收站热成像枪机,赛迪电气/5#楼,枪机,5号物质回收站热成像枪机,10.10.0.95,8000
317,5号楼2#仓库热成像枪机普通画面,赛迪电气/5#楼,枪机,5号楼2#仓库热成像枪机,10.10.0.97,8000
318,5号楼2#仓库热成像枪机,赛迪电气/5#楼,枪机,5号楼2#仓库热成像枪机,10.10.0.97,8000
297,5号楼4号房热成像枪机普通画面,赛迪电气/5#楼,枪机,5号楼4号房热成像枪机,10.10.0.98,8000
298,5号楼4号房热成像枪机,赛迪电气/5#楼,枪机,5号楼4号房热成像枪机,10.10.0.98,8000
268,5号楼6号房热成像枪机,赛迪电气/5#楼,枪机,5号楼6号房热成像枪机,10.10.0.99,8000
269,5号楼6号房热成像枪机普通画面,赛迪电气/5#楼,枪机,5号楼6号房热成像枪机,10.10.0.99,8000
145,食堂打菜区防油污枪机,赛迪电气/宿舍楼/1F,枪机,食堂打菜区防油污枪机,10.10.1.5,8000
44,食堂洗碗区防油污枪机,赛迪电气/宿舍楼/1F,枪机,食堂洗碗区防油污枪机,10.10.1.6,8000
45,食堂厨房防油污枪机,赛迪电气/宿舍楼/1F,枪机,食堂厨房防油污枪机,10.10.1.4,8000
46,食堂食库1防油污枪机,赛迪电气/宿舍楼/1F,枪机,食堂食库1防油污枪机,10.10.1.3,8000
28,宿舍楼2层半球01,赛迪电气/宿舍楼/2F,半球,宿舍楼2层半球01,10.10.0.25,8000
262,宿舍楼2层半球02,赛迪电气/宿舍楼/2F,半球,宿舍楼2层半球02,10.10.0.26,8000
201,宿舍楼2层北面楼梯,赛迪电气/宿舍楼/2F,半球,宿舍楼2层北面楼梯,10.10.0.27,8000
231,宿舍楼2层南面楼梯,赛迪电气/宿舍楼/2F,半球,宿舍楼2层南面楼梯,10.10.0.28,8000
27,宿舍楼2层半球03,赛迪电气/宿舍楼/2F,半球,宿舍楼2层半球03,10.10.0.29,8000
279,宿舍楼2层半球04,赛迪电气/宿舍楼/2F,半球,宿舍楼2层半球02,10.10.0.30,8000
76,宿舍楼2层半球05,赛迪电气/宿舍楼/2F,半球,宿舍楼2层半球05,10.10.0.31,8000
16,宿舍楼1层南门楼梯枪机,赛迪电气/宿舍楼/1F,枪机,宿舍楼1层南门楼梯枪机,10.10.1.105,8000
326,宿舍楼1层南面电梯前枪机,赛迪电气/宿舍楼/1F,枪机,宿舍楼1层南面电梯前枪机,10.10.1.106,8000
17,宿舍楼1层餐厅枪机01,赛迪电气/宿舍楼/1F,枪机,宿舍楼1层餐厅枪机01,10.10.1.107,8000
14,宿舍楼1层餐厅枪机02,赛迪电气/宿舍楼/1F,枪机,宿舍楼1层餐厅枪机02,10.10.1.108,8000
18,宿舍楼1层餐厅枪机03,赛迪电气/宿舍楼/1F,枪机,宿舍楼1层餐厅枪机03,10.10.1.109,8000
274,宿舍楼一层北楼梯枪机,赛迪电气/宿舍楼/1F,枪机,宿舍楼一层北楼梯枪机,10.10.1.10,8000
151,宿舍楼1层西面地下室入口,赛迪电气/宿舍楼/1F,枪机,宿舍楼1层西面地下室入口,10.10.1.110,8000
332,食堂洗菜区防油污监控,赛迪电气/宿舍楼/1F,枪机,食堂洗菜区防油污监控,10.10.1.1,8000
199,6号楼地下室水泵房01,赛迪电气/厂房/功能房,枪机,6号楼地下室水泵房01,10.10.1.103,8000
255,6号楼地下室水泵房02,赛迪电气/厂房/功能房,枪机,6号楼地下室水泵房02,10.10.1.102,8000
235,宿舍楼3层过道半球01,赛迪电气/宿舍楼/3F,半球,宿舍楼3层过道半球01,10.10.0.32,8000
200,宿舍楼3楼过道半球02,赛迪电气/宿舍楼/3F,半球,宿舍楼3层过道半球02,10.10.0.33,8000
242,宿舍楼3层楼梯间半球01,赛迪电气/宿舍楼/3F,枪机,宿舍楼3层楼梯间半球01,10.10.0.34,8000
233,宿舍楼3层楼梯间半球02,赛迪电气/宿舍楼/3F,半球,宿舍楼3层楼梯间半球02,10.10.0.35,8000
346,宿舍楼4层走廊半球01,赛迪电气/宿舍楼/4F,半球,宿舍楼4层走廊半球01,10.10.0.36,8000
349,宿舍楼4层走廊半球02,赛迪电气/宿舍楼/4F,半球,宿舍楼4层走廊半球02,10.10.0.37,8000
302,宿舍楼4层北面楼梯间半球,赛迪电气/宿舍楼/4F,半球,宿舍楼4层北面楼梯间半球,10.10.0.38,8000
322,宿舍楼4层南面楼梯间半球,赛迪电气/宿舍楼/4F,半球,宿舍楼4层南面楼梯间半球,10.10.0.39,8000
223,宿舍楼5层南面走廊半球,赛迪电气/宿舍楼/5F,半球,宿舍楼5层南面走廊半球,10.10.0.43,8000
270,宿舍楼5层北面走廊半球,赛迪电气/宿舍楼/5F,半球,宿舍楼5层北面走廊半球,10.10.0.41,8000
221,宿舍楼5层北面楼梯间半球,赛迪电气/宿舍楼/5F,半球,宿舍楼5层北面楼梯间半球,10.10.0.40,8000
252,宿舍楼5层南面楼梯间半球,赛迪电气/宿舍楼/5F,半球,宿舍楼5层南面楼梯间半球,10.10.0.42,8000
26,宿舍楼顶层枪机,赛迪电气/宿舍楼/顶层,枪机,宿舍楼顶层枪机,10.10.1.104,8000
258,消防控制室半球01,赛迪电气/消控室,半球,消防控制室半球01,10.10.0.45,8000
254,消防控制室半球02,赛迪电气/消控室,枪机,消防控制室半球02,10.10.0.44,8000
205,北门门卫室,赛迪电气/消控室,枪机,北门门卫室,10.10.0.46,8000
261,人形闸机监控,赛迪电气/消控室,枪机,人形闸机监控,10.10.2.26,8000
59,1#低压配电室热成像枪机05,赛迪电气/厂房/功能房,枪机,1#低压配电室热成像枪机05,10.10.1.234,8000
259,C轴枪机20,赛迪电气/厂房/C轴,枪机,C轴枪机20,10.10.1.63,8000
284,2号ICC产线枪机02,赛迪电气/厂房/产线区域,枪机,2号ICC产线枪机02,10.10.0.90,8000
285,高压柔性线枪机01,赛迪电气/厂房/产线区域,枪机,高压柔性线枪机01,10.10.0.91,8000
289,1号ICC产线枪机01,赛迪电气/厂房/产线区域,枪机,1号ICC产线枪机01,10.10.0.83,8000
293,西面围墙枪机01,赛迪电气/周界,枪机,西面围墙枪机01,10.10.1.69,8000
299,1号低压柔性产线枪机01,赛迪电气/厂房/产线区域,枪机,1号低压柔性产线枪机01,10.10.0.88,8000
304,KYN28线枪机02,赛迪电气/厂房/产线区域,枪机,KYN28线枪机02,10.10.0.85,8000
306,2号低压柔性产线枪机02,赛迪电气/厂房/产线区域,枪机,2号低压柔性产线枪机02,10.10.0.87,8000
308,高压柔性线枪机02,赛迪电气/厂房/产线区域,枪机,高压柔性线枪机02,10.10.0.94,8000
310,2号ICC产线枪机01,赛迪电气/厂房/产线区域,枪机,2号ICC产线枪机01,10.10.0.86,8000
323,2号低压柔性产线枪机01,赛迪电气/厂房/产线区域,枪机,2号低压柔性产线枪机01,10.10.0.84,8000
329,KYN28线枪机01,赛迪电气/厂房/产线区域,枪机,KYN28线枪机01,10.10.0.92,8000
335,线束生产区枪机02,赛迪电气/厂房/功能房,枪机,线束生产区枪机02,10.10.1.128,8000
340,1号ICC产线枪机02,赛迪电气/厂房/产线区域,枪机,1号ICC产线枪机02,10.10.0.89,8000
341,C轴枪机13,赛迪电气/厂房/I轴,枪机,C轴枪机13,10.10.0.60,8000
348,1号低压柔性线枪机02,赛迪电气/厂房/产线区域,枪机,1号低压柔性线枪机02,10.10.0.93,8000
